"Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.	oh no , i 'm sorry to hear that . do you think anyone else about it ?"
"No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.	i do not blame you , i would have done the same thing  ."
"I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.	Well, can you tell me about your experience? I think we swapped places	that 's really nice of you . it 's always good to have friends to do that ."
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?	i do not blame you , but i do not know what i would do this one .  on the other side of those cars !"
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together	that is so sad to hear !"
"Yes we decided together with our minds, and know i come home and feel so distant from the world	i am sure it will be"
"I couldn't wait to go to the concert.	who are you going to see ?"
"The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!	i love that too !"
"I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors	i 'm so sorry to hear that !"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying	i 'm so sorry to hear that !"
"yes! And i do believe in God and prayers but goodness gracious please take your children to the hospital and let God heal them THROUGH doctors	so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up	i 'm so sorry to hear that . i hope he feels better soon ."
"i was singing nursery songs :)	i love it when that happens"
"If you happy and you know it :)	my husband lost a job but i'm hoping he can find a full time job soon	what kind of job is it ?"
"thank you so much!	i am sure he will be fine"
"he is an armed guard	i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!	that is so annoying ! did you report it to the police ?"
"I do! I want to be able to protect my son	that would be so annoying . you should report him to the police"
"i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years	that is a long time to be together . i hope you have a great time ."
"I moved to the US and they stayed in my homecountry	that 's a long time to be together . i hope you have fun"
"I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident	wow , that is really annoying . did you report him to the police ?"
"Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.	i would be so mad if you had to go to work"
