"Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.	oh wow , that is terrifying ! i am so sorry to hear that ."
"No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.	that is terrible . i hope you were not hurt ."
"I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.	Well, can you tell me about your experience? I think we swapped places	that is awesome ! i bet you were not expecting it ."
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?	i am so sorry to hear that . i am so sorry to hear that ."
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together	i am sure you will be fine !"
"Yes we decided together with our minds, and know i come home and feel so distant from the world	i am sure you will be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to get"
"I couldn't wait to go to the concert.	that is awesome ! what concert ?"
"The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!	i am sorry to hear that ."
"I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors	i am so sorry to hear that . i am so sorry to hear that ."
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying	i am so sorry to hear that . i hope she is a great parent ."
"yes! And i do believe in God and prayers but goodness gracious please take your children to the hospital and let God heal them THROUGH doctors	so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up	oh no , that is terrible . did he get hurt ?"
"i was singing nursery songs :)	that is awesome ! i bet you were proud of him ."
"If you happy and you know it :)	my husband lost a job but i'm hoping he can find a full time job soon	that is great . what kind of job is he ?"
"thank you so much!	i am glad he is going to be able to find him ."
"he is an armed guard	i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!	oh no , that is terrible . i hope you were not hurt ."
"I do! I want to be able to protect my son	i hope you are ok ."
"i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years	that is awesome ! i hope you are happy for them ."
"I moved to the US and they stayed in my homecountry	i am glad you are happy to hear that ."
"I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident	oh no , that is terrible . did you get hurt ?"
"Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.	i am sorry to hear that ."
"Good idea. i don't like social media that much. It can get you in to trouble fast, even when expressing your opinions.	So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer	oh no ! that is a bummer . i hope you get it fixed on it ."
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!	i am sure you will get better ."
"Yes, i guess walmart and the rest of false advertisement in the US, the look in my daugther eyes when i came home empty handed	My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!	that is great ! i am sure he will be able to be able to pass away ."
"I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!	i am sure he will be able to tell him about it ."
"my baby is sleeping. it's so peaceful and quiet in this house	that is nice to hear . i hope you are okay !"
"i totally agree with you!	i can imagine . i hope you are okay ."
"hi, i feel so lonely sometimes because all my friends live in a different country	i am sorry to hear that . i hope you have a lot of faith in a lot of people ."
"i was thinking about it! I wanted to join a group for local moms	i am sure you will be able to meet some people ."
"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.	i understand that , but i am sure he will not even better than a kid ."
