"Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.	That is terrifying! I know for sure that you will be fine and that they almost lost a loved one. They are such bad people!"
"No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.	Well that's all we really know about him."
"I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.	Well, can you tell me about your experience? I think we swapped places	Well, I went to Venice with you!"
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?	Yes, his license was revoked."
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together	I'm sorry to hear that, it must be hard."
"Yes we decided together with our minds, and know i come home and feel so distant from the world	Yes I think that's a good thing, you can learn to embrace the distance, you can love the unknown!"
"I couldn't wait to go to the concert.	What concert was it?"
"The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!	That's awesome. Are you going because you want to go to see them or because you just really like U2?"
"I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors	That is so terrible. I am so sorry for your loss."
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying	That is terrible but they will be okay no?"
"yes! And i do believe in God and prayers but goodness gracious please take your children to the hospital and let God heal them THROUGH doctors	so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up	Oh no! I hope he's okay now."
"i was singing nursery songs :)	Ooh, that's nice of you! How old are you?"
"If you happy and you know it :)	my husband lost a job but i'm hoping he can find a full time job soon	That's good that you are hopeful. What's wrong with the economy right now?"
"thank you so much!	No problem, I'll talk to you tomorrow about spring cleaning at work."
"he is an armed guard	i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!	Geeze, did the nanny died?"
"I do! I want to be able to protect my son	I protective of my kids too. Always watch out!"
"i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years	That's great. Where did you guys move to?"
"I moved to the US and they stayed in my homecountry	I have been there. Ik basically lived in your house for a whole year. How come you were not affected?"
"I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident	Oh no! Did he get fired?"
"Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.	Yeah but what a random occurrence. There have been plenty of times I've cheated by taking cool pics of weddings."
"Good idea. i don't like social media that much. It can get you in to trouble fast, even when expressing your opinions.	So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer	Oh wow that's a really steep discount if you ask us. Maybe you can find a local Apple store and get one for 399 usd."
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!	Empty bowls are usually a terrible feeling. I hope you find enjoyment in your new bowl of noodles."
"Yes, i guess walmart and the rest of false advertisement in the US, the look in my daugther eyes when i came home empty handed	My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!	I am sorry, you sure are loved and needed"
"I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!	Well I hope it wasnt too hard for both of you! I'm sure she'll be happy to know that you are there for her."
"my baby is sleeping. it's so peaceful and quiet in this house	That is awesome, do you love that baby?"
"i totally agree with you!	Good! I wish I could agree with you more. I have tried, and it's not fun."
"hi, i feel so lonely sometimes because all my friends live in a different country	I feel the same way in general"
