"Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.	What happened?"
"No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.	That's really a scary experience! Did they have any cameras? How much money did you end up with for your accident repairs/"
"I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.	Well, can you tell me about your experience? I think we swapped places	Sure, I went to a public toilet on vacation, but the thing that bugs me the most is the toilet paper not fitting inside the dumpster."
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?	I was shaken up but otherwise fine. Yes, the guy I was riding was very drunk."
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together	I'm so sorry to hear this, are you okay?"
"Yes we decided together with our minds, and know i come home and feel so distant from the world	That's unfortunate, but maybe there is a light at the end of tunnel somewhere for you."
"I couldn't wait to go to the concert.	What concert?"
"The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!	That's awesome! Were tickets for the whole band or just the two singers?"
"I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors	that sucks, how was she dying? was she sleep"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying	that's terrible, i hate to hear that. i'm really sorry that this happened to your baby"
"yes! And i do believe in God and prayers but goodness gracious please take your children to the hospital and let God heal them THROUGH doctors	so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up	Oh no! Is he alright though?"
"i was singing nursery songs :)	I hope it wasn't serious!"
"If you happy and you know it :)	my husband lost a job but i'm hoping he can find a full time job soon	That really stinks. I am sorry to hear that. Is it a really big job?"
"thank you so much!	What kind of work do you both do"
"he is an armed guard	i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!	Oh no, that sounds terrifying."
"I do! I want to be able to protect my son	Oh no! Did they get into trouble?"
"i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years	That's cool. Are you flying or driving?"
"I moved to the US and they stayed in my homecountry	That's awesome, I bet your are going to miss them!"
"I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident	What a jerk. Why July 4th? Did he do something wrong on that day, or did the 4th just spring to mind?"
"Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.	that sounds horrible! I would have cried!"
"Good idea. i don't like social media that much. It can get you in to trouble fast, even when expressing your opinions.	So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer	What a rip off. What are going to do with all the money?"
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!	Yeah i would have been bummed out too. Did you walk into any electronics stores?"
"Yes, i guess walmart and the rest of false advertisement in the US, the look in my daugther eyes when i came home empty handed	My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!	That is good of you to show him you are loyal to him.  Does he know you did it for the good reasons?"
"I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!	She may have done it to protect herself."
"my baby is sleeping. it's so peaceful and quiet in this house	Aww I'm sorry to hear that!"
"i totally agree with you!	Awww! Babies need company and a break from all of this crazy baby noise. It's like they don't know how to sleep."
"hi, i feel so lonely sometimes because all my friends live in a different country	Why do you say that? Are you not happy there also?"
"i was thinking about it! I wanted to join a group for local moms	Have you thought about doing it locally?"
"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.	That's a jerk move on his part. I'm glad someone can put a damper on his behavior."
"Me either! I have two of my own children, and I would have never let them get away with that kind of behavior when they were his age. I just don't understand those kind of parents@!	That is really not cool.  Did he get in trouble with anyone?"
"I'm so scared of bugs! i found one in my hair yesterday and almost died	Yeah I hate bugs too!"
"Ugh I hate bugs with a passion, they are so creepy	I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her.	That's good. It's good to have people you know from your past relationships.  Do you see them again?"
"Yes, they ended somewhat well, but there were tense moments. I am glad she's doing well, but I miss her.	I'm sorry that happened. But everyone makes mistakes."
"Thank you! That means a lot.	One of the times I remember feeling the most blissed out in life was right after the birth of my first child.	Cherish that moment forever!"
"Obviously there are the demands of a new child -- but that feeling of finally meeting someone you waited so long for, and the love surrounding the whole situation. Truly something to remember.	Love and complications overcome time I guess, for those born with a good mom and dad."
"Have you ever been in a situation when payment of some kind has come through *just* in the nick of time?! Talk about gratitude!	Of course! Life's not fair! You get screwed if someone steps in too debt and it seems like they always come out of no where and the bill comes in just a few days!"
"Absolutely. You go from scared and desperate to grateful and optimistic in one quick moment! It's not a situation I wish to be in again.	I've certainly felt that. I'm glad you felt that way and I know it's definitely an overwhelming situation!"
"Im so grateful for my family due to an incident with my friend	What happened that happened?"
"My friend lost her parents and siblings in a fire and their family was very close to mine. So seeing her go through the grief made me realize how thankful I should be	That's so sad. How did they lose them in fire?"
"Yes definitely. Never take anything for granted as you never know when it will be taken away from you	I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on.	That's so wise! It's so easy to miss intuition when you're trying so hard."
"It is a ""knowing"" -- and a flowing! When something is right, it just feels easier to go with it -- like you're being led, even if you might not fully know to where.	That's great advice!"
"I couldnt celebrate my 18th birthday as I had exams during the time and I felt terrible for it. But my friends threw a surprise party for me and it was the best!	That's awesome! You have to appreciate your friends even if they don't like you at the time!"
"I was studying in my bedroom for a couple of hours straight with headphones on and then my mom called me to the living room for dinner and when I went out the whole place was decorated and everyone was there	That's so sweet! I love that feeling when your loved ones are being kind and thoughtful!"
"I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely	I'm sorry to hear that. Do you have any friends in your area to turn to?"
"Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes	I am sorry you feel lonely!  Maybe if you just keep putting yourself out there it'll start to make more girls interested maybe?  You could also meet new friends?"
"As silly as it sounds, I was so surprised at how different my two kids were as babies. You're reminded that they're wired with their own personalities from the git-go.	That is a good point! They could very well be showing signs of early development!"
"One was pacifier, one was fingers. One wanted to co-sleep, one liked her space. One liked facing *out* in the Baby Bjorn carrier, one liked cocooning in a sling!	Hahaha, that's so cute! It is so easy to miss little moments like that when you're just learning. It's like you see it all and now it makes you want to learn and become better"
"The other day I had a deep craving for Chik-Fil-A.	Oh my gosh! I've never had that! Was it any good?"
"Mine too. So I drive there and pull in the parking lot and it's completely empty. I then realized it was Sunday.	That is crazy. I think they should do something about it."
"I visited an orphan once and it was such a surreal moment. It made me realise how thankful I should be for a family	Oh, that sounds so sweet, I love seeing animals suffer and have their lives cut tragically short! How long did you go with them for?"
"Yes it definitely was. I went with intentions to teach the kid a few things but I ended up learning lots more from him	That is so amazing and I wish I could see an orphanage teach kids."
"My oldest and my husband have always had a rough relationship. I've got to believe that as she gets older, it will get better!	That's good to hear. I'm not married and still get upset about my partner not being happy with me haha."
