sympathizing,sorry you have to live in a not so desirable neighborhood
agreeing,that's pretty bleak.
suggesting,maybe the baby is feeling you :) and knows that you two are related
suggesting,"you clocked out maybe with some blood on your shirt, smelling like newborn."
encouraging,hopefully it would be filled with children like yours
consoling,i hope you enjoy it.
suggesting,maybe something in your life  makes you very stress.
acknowledging,"that happens to me all the time too, it's a treat to remember such great times."
questioning,what did you eat?
wishing,good luck for this weekend.
suggesting,you could always do that but maybe exploring on your own can give you a different perspective on things.
encouraging,i hope she forgave you
suggesting,maybe an airhorn or something would spook him off.
questioning,did you see it happen?
agreeing,i would be bummed too.
questioning,was that in the united states or somewhere else?
wishing,good luck.
questioning,so you have to do the whole process with the passport over again?
questioning,why were you scared?
questioning,are you ok. did you need to go to the hospital?
suggesting,well maybe you can tell your friend and ask him/her to forgive you.
suggesting,maybe you should contact the news about it
questioning,where did they go?
consoling,hopefully this will work out well for everyone involved.
encouraging,hopefully you will get one soon
questioning,you were in the toilet?
consoling,i hope it goes well.
wishing,congratulations!
encouraging,"good luck, i hope you get a raise!"
sympathizing,sorry to hear that.
agreeing,you sound prepared!
wishing,i wish you get it as soon as possible buddy
suggesting,maybe you should try to hang out with some of your classmates?
encouraging,it will hopefully get easier for us each day
questioning,did you apologize to her?
wishing,good luck.
consoling,hopefully the next world cup will surprise just as much.
questioning,what are you studying?
consoling,i hope the lakers treats him well.
encouraging,i hope they're not still mad at you!
wishing,i wish you the best!
encouraging,i hope things get better you two.
suggesting,i would call the school and see if they can disclose that or maybe they can accept the card from you to give to her!
sympathizing,i'm sorry.
suggesting,maybethey will let you do a payment plan?
acknowledging,i know exactly what you mean.
sympathizing,sorry your brother is a jerl.
questioning,who is playing tomorrow ?
encouraging,hopefully he survived the incident
wishing,good luck and try to think about something else before then.
wishing,"that's sad, well, happy birthday!"
questioning,why?
sympathizing,i am sorry you are going through that
questioning,what kind of job?
agreeing,"that is awesome, is this your first kid."
suggesting,maybe you can make some weekend trips to do fun things.
wishing,good luck i'm sure you will do great.
encouraging,i hope you do.
suggesting,maybe you should take some time to reflect on their life.
questioning,did you complain to your landlord?
sympathizing,im sorry for your loss
acknowledging,i know that feeling.
wishing,congratulations!
wishing,"congratulations though, i'm sure you are proud to do it!"
suggesting,maybe he/she had a significant other.
consoling,i hope you like it and above all that you study something amazing
wishing,good luck!
agreeing,that is great news.
acknowledging,i completely understand.
wishing,oh congratulations!
consoling,"ok, well i hope it comes out ok for you."
questioning,what makes you not like them?
questioning,have you called the post office to find out what happened?
acknowledging,"that's a great feeling, i agree!"
consoling,i hope everything is okay.
acknowledging,"me too, its the only place i get to get away from my wife's constant nagging."
wishing,good luck!
sympathizing,i'm sorry to hear.
acknowledging,exactly!
agreeing,that sucks.
suggesting,"yeah, maybe next time"
acknowledging,"i know, the free time is the best."
encouraging,"wow that is terrible, i hope he got to live a long life before that happened."
suggesting,"what did they advice , any martial arts schools around your area, maybe start your kid in it"
suggesting,maybe sleep with a night light on tonight :) sweet dreams!
consoling,i hope i can get the family together soon.
wishing,"good luck, friend!"
wishing,"nice , good luck for your new season!"
encouraging,yeah hopefully it doesn't happen again!
encouraging,"i hope you get to use them at some point, because they should be worth something."
questioning,would you be making more money?
agreeing,yum that sounds delicious!
questioning,what a horrible person!
encouraging,"im sorry thats awful, i hope he makes a full recovery"
